symbol,direction,indicator,htf,entry_time,entry_price,stake,param_a,param_b,atr_mult,min_hold_bars,last_price,bars_held,unrealized_pct,unrealized_pnl,status
BTC/EUR,long,jma,8h,2025-12-21T23:00:00+01:00,75502.53125,3004.927055928785,30.0,0.0,,48,74556.03125,157,-1.2536003552861017,-37.66977624921145,Verlust
BTC/EUR,short,jma,8h,2025-12-21T21:00:00+01:00,75283.78125,2872.3653965539966,30.0,0.0,,48,74556.03125,159,0.9666756742508865,27.766457564087496,Gewinn
ETH/EUR,long,jma,12h,2025-12-22T23:00:00+01:00,2558.733154296875,2747.9301429287025,30.0,0.0,1.5,48,2498.595947265625,133,-2.3502727093781437,-64.58385222202911,Verlust
LINK/EUR,long,jma,1h,2025-12-22T23:00:00+01:00,10.701242446899414,2207.479752852407,30.0,0.0,1.5,48,10.564226150512695,133,-1.280377461464,-28.264073221903427,Verlust
LINK/EUR,long,jma,8h,2025-12-22T09:00:00+01:00,10.74092960357666,1650.22058950771,30.0,0.0,,48,10.564226150512695,147,-1.6451411524485156,-27.148458024169827,Verlust
LUNC/USDT,long,jma,12h,2025-12-21T17:00:00+01:00,3.957359149353579e-05,1061.9694604279978,30.0,0.0,,48,4.062181324115954e-05,164,2.6487910448941014,28.12935196732701,Gewinn
LUNC/USDT,short,jma,12h,2025-12-23T00:00:00+01:00,3.9004284190014005e-05,1150.4545920158132,30.0,0.0,,48,4.062181324115954e-05,133,-4.147054829324766,-47.70998271738031,Verlust
LUNC/USDT,long,jma,8h,2025-12-22T19:00:00+01:00,4.007613824796863e-05,1041.7684309712206,30.0,0.0,,48,4.062181324115954e-05,138,1.3615957451154035,14.184674630059638,Gewinn
LUNC/USDT,short,jma,8h,2025-12-22T09:00:00+01:00,4.023383735329844e-05,944.7407968576896,30.0,0.0,,48,4.062181324115954e-05,148,-0.9643024712115587,-9.110158850642472,Verlust
SUI/EUR,long,jma,12h,2025-12-22T23:00:00+01:00,1.4565922021865845,384.3761837091722,30.0,0.0,,48,1.4565293788909912,135,-0.0043130325357333115,-0.01657826986298664,Verlust
SUI/EUR,short,jma,12h,2025-12-22T03:00:00+01:00,1.44739830493927,360.41066646945376,30.0,0.0,,48,1.4565293788909912,155,-0.6308611748791784,-2.273690964879073,Verlust
TNSR/USDC,long,jma,8h,2025-12-22T11:00:00+01:00,0.0864815190434455,460.35631724946626,30.0,0.0,,48,0.0817233622074127,147,-5.501934851124036,-25.328504658099515,Verlust
XRP/EUR,long,jma,12h,2025-12-22T08:00:00+01:00,1.6422595977783203,278.8438092610177,30.0,0.0,,48,1.5879472494125366,148,-3.3071719257575634,-9.221844176593347,Verlust
ZEC/USDC,long,jma,8h,2025-12-22T09:00:00+01:00,444.3017272949219,420.0438948494381,30.0,0.0,,48,518.83203125,149,16.774704975568515,70.46112412888048,Gewinn
