symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-11-29T12:00:00+01:00,78238.83,2025-12-01T12:00:00+01:00,74130.44,1000.0,2.0,-54.51088238410517,13945.489117615894,Trend flip,0.01278137722662775,2025-11-29T12:00:00+01:00,2025-12-01T12:00:00+01:00,78238.83,74130.44
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-02T11:00:00+01:00,75241.24,2025-12-04T11:00:00+01:00,79923.18,1000.0,2.0,60.225715578318315,14005.714833194213,Trend flip,0.013290583727753555,2025-12-02T11:00:00+01:00,2025-12-04T11:00:00+01:00,75241.24,79923.18
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-04T16:00:00+01:00,79739.86,2025-12-06T16:00:00+01:00,77158.86,1000.0,2.0,-34.36775183703608,13971.347081357177,Trend flip,0.012540779479673027,2025-12-04T16:00:00+01:00,2025-12-06T16:00:00+01:00,79739.86,77158.86
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-08T02:00:00+01:00,78100.7,2025-12-10T08:00:00+01:00,79583.8,1000.0,2.0,16.989586520991566,13988.336667878168,Trend flip,0.01280398255073258,2025-12-08T02:00:00+01:00,2025-12-10T08:00:00+01:00,78100.7,79583.8
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-10T10:00:00+01:00,79865.11,2025-12-12T12:00:00+01:00,78790.8,1000.0,2.0,-15.45155600486868,13972.885111873298,Trend flip,0.012521112160241186,2025-12-10T10:00:00+01:00,2025-12-12T12:00:00+01:00,79865.11,78790.8
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-15T01:00:00+01:00,75470.57,2025-12-17T01:00:00+01:00,74448.38,1000.0,2.0,-15.544219952227765,13957.34089192107,Trend flip,0.01325019805733546,2025-12-15T01:00:00+01:00,2025-12-17T01:00:00+01:00,75470.57,74448.38
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-18T03:00:00+01:00,73785.87,2025-12-20T08:00:00+01:00,75339.35,1000.0,2.0,19.053895549378364,13976.394787470448,Trend flip,0.01355273035338609,2025-12-18T03:00:00+01:00,2025-12-20T08:00:00+01:00,73785.87,75339.35
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-20T09:00:00+01:00,75387.26,2025-12-22T14:00:00+01:00,76514.01,1000.0,2.0,12.946159337797926,13989.340946808246,Trend flip,0.01326484077017788,2025-12-20T09:00:00+01:00,2025-12-22T14:00:00+01:00,75387.26,76514.01
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-22T15:00:00+01:00,76632.63,2025-12-24T15:00:00+01:00,73798.03,1000.0,2.0,-38.98946519256883,13950.351481615677,Trend flip,0.01304927157008705,2025-12-22T15:00:00+01:00,2025-12-24T15:00:00+01:00,76632.63,73798.03
BTC/EUR,Long,jma,8h,"ParamA=30.0, ParamB=0.0, ATR=None",2025-12-25T02:00:00+01:00,74427.16,2025-12-27T11:00:00+01:00,74277.87,1000.0,2.0,-4.0058537770352665,13946.345627838642,Trend flip,0.013435955368980892,2025-12-25T02:00:00+01:00,2025-12-27T11:00:00+01:00,74427.16,74277.87
