"symbol","direction","indicator","htf","param_desc","entry_time","entry_price","exit_time","exit_price","stake","fees","pnl","equity_after","reason","size_units","Zeit","ExitZeit","Entry","ExitPreis","Timestamp","Symbol","Direction","Indicator","HTF","ParamDesc","EntryTime","EntryPrice","ExitTime","ExitPrice","Stake","Fees","PnL","EquityAfter","Reason"
"","","","","","","","","","","","","","","","","","","","Long","jma","6h","ParamA=30.0"," ParamB=-50.0"," ATR=1.5","2025-12-13T17:00:00+01:00","1.3717","2025-12-13T23:00:00+01:00","1.3652","1000.0","2.0","-6.74","13993.26","Trend flip"
"","","","","","","","","","","","","","","","","","","","Long","jma","4h","ParamA=20.0"," ParamB=0.0"," ATR=1.5","2025-12-13T20:00:00+01:00","4.529e-05","2025-12-14T03:00:00+01:00","4.361e-05","1000.0","2.0","-39.09","13954.17","ATR stop x1.50"
"","","","","","","","","","","","","","","","","","","","Long","jma","6h","ParamA=30.0"," ParamB=-50.0"," ATR=1.5","2025-12-14T06:00:00+01:00","1.3693","2025-12-14T11:00:00+01:00","1.3656","1000.0","2.0","-4.7","13949.46","Trend flip"
"","","","","","","","","","","","","","","","","","","","Long","jma","4h","ParamA=20.0"," ParamB=-50.0"," ATR=1.5","2025-12-13T20:00:00+01:00","11.72","2025-12-14T12:00:00+01:00","11.66","1000.0","2.0","-7.12","13942.35","Trend flip"
"2025-12-15T15:03:21.056587","BTC/EUR","Long","jma","6h","ParamA=20.0, ParamB=50.0, ATR=1.5","2025-12-15T06:00:00+01:00","76282.95","2025-12-15T17:00:00+01:00","74534.20000763","1000.0","2.0","-24.92","13764.75","ATR stop x1.50","","","","","","","","","","","","","","","","","","",""
