Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Phase;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;jma;Jurik Moving Average;20;50;;50;;None;;2;5;5b;12h;16051,654607708884;50;0,42;90,02040005598974
BTC/EUR;Short;jma;Jurik Moving Average;50;50;;50;;None;;2;0;trend;12h;16334,175722674796;11;0,8181818181818182;39,483267909603455
ETH/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;12h;16355,57751005461;45;0,4888888888888889;107,04995801184123
ETH/EUR;Short;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;12h;16540,496195779066;49;0,4897959183673469;170,88544464333972
XRP/EUR;Long;jma;Jurik Moving Average;30;50;;50;;None;;2;5;5b;12h;16270,905581827754;35;0,5142857142857142;82,57722880314941
XRP/EUR;Short;jma;Jurik Moving Average;20;0;;0;;None;;2;0;trend;12h;16494,617766179992;14;0,7857142857142857;169,04704581128863
SOL/EUR;Long;jma;Jurik Moving Average;30;50;;50;;None;;2;5;5b;12h;16481,14019273072;40;0,55;80,12516746475012
SOL/EUR;Short;jma;Jurik Moving Average;20;50;;50;;None;;2;0;trend;12h;16554,795767669686;12;0,75;18,302009242128406
LINK/EUR;Long;jma;Jurik Moving Average;50;50;;50;;None;;2;4;4b;12h;16192,754471763814;36;0,5555555555555556;112,40808068620754
LINK/EUR;Short;jma;Jurik Moving Average;50;0;;0;;None;;2;4;4b;12h;16337,366014182071;53;0,4528301886792453;151,2032892827665
SUI/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;12h;16561,616166548796;45;0,5777777777777777;98,38812675484587
SUI/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;1.5;1,5;2;0;trend;12h;16773,67396130731;15;0,5333333333333333;83,40123790922371
LUNC/USDT;Long;jma;Jurik Moving Average;50;-50;;-50;;1.5;1,5;2;0;trend;12h;19126,480824164664;15;0,4666666666666667;157,69304631838895
LUNC/USDT;Short;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;12h;17152,010097443494;47;0,6170212765957447;150,4212330291084
TNSR/USDC;Long;jma;Jurik Moving Average;30;50;;50;;1.5;1,5;2;0;trend;12h;26984,932466496517;13;0,3076923076923077;775,297644924809
TNSR/USDC;Short;jma;Jurik Moving Average;20;50;;50;;1.5;1,5;2;5;5b;12h;17150,89786704669;81;0,6296296296296297;383,71024489046977
ZEC/USDC;Long;jma;Jurik Moving Average;50;-50;;-50;;None;;0;0;trend;12h;16747,861606523307;47;0,2978723404255319;173,8744532063447
ZEC/USDC;Short;jma;Jurik Moving Average;50;0;;0;;None;;2;5;5b;12h;17203,963658169214;38;0,6578947368421053;126,92937378779789
