Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Phase;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;jma;Jurik Moving Average;20;0;;0;;1.5;1,5;2;5;5b;6h;16290,071386524978;51;0,5098039215686274;71,35811281755014
BTC/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;None;;2;5;5b;6h;16365,004265659258;44;0,45454545454545453;74,17552784761938
ETH/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;6h;16626,53719398382;56;0,5714285714285714;60,95018014828747
ETH/EUR;Short;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;6h;16744,414385331766;50;0,52;66,88952824197258
XRP/EUR;Long;jma;Jurik Moving Average;30;0;;0;;None;;2;5;5b;6h;16478,403773313847;48;0,5625;47,74748145661761
XRP/EUR;Short;jma;Jurik Moving Average;20;50;;50;;None;;2;4;4b;6h;16658,82857615136;65;0,6153846153846154;44,80171573287225
SOL/EUR;Long;jma;Jurik Moving Average;50;50;;50;;None;;2;5;5b;6h;16584,52044644071;41;0,5853658536585366;79,70850628066728
SOL/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;None;;2;5;5b;6h;16802,364185252485;42;0,6190476190476191;63,556702909576416
LINK/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;1.5;1,5;2;4;4b;6h;16528,723610524437;54;0,5185185185185185;89,85687964009958
LINK/EUR;Short;jma;Jurik Moving Average;20;-50;;-50;;None;;2;0;trend;6h;16534,35966775477;15;0,6666666666666666;187,70711104837392
SUI/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;6h;16739,209492971942;49;0,6122448979591837;79,20104607064604
SUI/EUR;Short;jma;Jurik Moving Average;20;-50;;-50;;None;;2;0;trend;6h;16987,253490203966;15;0,6666666666666666;108,6895785258348
LUNC/USDT;Long;jma;Jurik Moving Average;50;-50;;-50;;1.5;1,5;2;0;trend;6h;18714,116286743138;18;0,3888888888888889;265,40586781653474
LUNC/USDT;Short;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;6h;17485,984214616423;58;0,5862068965517241;401,1372344756819
TNSR/USDC;Long;jma;Jurik Moving Average;30;50;;50;;1.5;1,5;2;0;trend;6h;27409,34791093838;15;0,4;775,297644924809
TNSR/USDC;Short;jma;Jurik Moving Average;50;-50;;-50;;1.5;1,5;2;0;trend;6h;18351,11352112251;21;0,6190476190476191;496,3154927226278
ZEC/USDC;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;0;2;2b;6h;16987,33684716012;80;0,45;186,9288185813275
ZEC/USDC;Short;jma;Jurik Moving Average;20;50;;50;;1.5;1,5;2;0;trend;6h;17575,51242201628;16;0,5625;147,25010965401452
