Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;SlowLength;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;8h;16133,330406221641;11;0,5454545454545454;31,805656265203652
BTC/EUR;Short;kama;Kaufman AMA;30;30;;30;;1.5;1,5;2;5;5b;8h;16093,198949559517;27;0,4074074074074074;122,06592976678621
ETH/EUR;Long;kama;Kaufman AMA;10;50;;50;;None;;2;5;5b;8h;16258,17274933515;28;0,6428571428571429;98,04257061225326
ETH/EUR;Short;kama;Kaufman AMA;30;50;;50;;None;;0;5;5b;8h;16332,41431058586;25;0,48;124,71154925620249
XRP/EUR;Long;kama;Kaufman AMA;30;30;;30;;1.5;1,5;2;5;5b;8h;16155,529956061035;13;0,38461538461538464;39,660400155999014
XRP/EUR;Short;kama;Kaufman AMA;20;30;;30;;None;;2;5;5b;8h;16299,817671772875;33;0,5454545454545454;68,9336578836901
SOL/EUR;Long;kama;Kaufman AMA;20;50;;50;;1.5;1,5;2;2;2b;8h;16200,273487241828;8;0,625;16,37620913990031
SOL/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;8h;16464,104377069038;35;0,5142857142857142;155,00331492161786
LINK/EUR;Long;kama;Kaufman AMA;10;30;;30;;None;;2;0;trend;8h;16420,327507057882;4;1,0;0,0
LINK/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;0;5;5b;8h;16368,693961239316;25;0,44;66,88054762196225
SUI/EUR;Long;kama;Kaufman AMA;10;30;;30;;None;;2;0;trend;8h;16240,024703815317;7;0,42857142857142855;206,7521847107855
SUI/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;8h;16305,927515653886;14;0,5;105,21337063152714
LUNC/USDT;Long;kama;Kaufman AMA;10;30;;30;;1.5;1,5;2;0;trend;8h;17898,480885286048;4;0,5;374,00389042918323
LUNC/USDT;Short;kama;Kaufman AMA;20;40;;40;;None;;2;5;5b;8h;16587,47699540224;30;0,5666666666666667;261,2396232046667
TNSR/USDC;Long;kama;Kaufman AMA;10;30;;30;;None;;0;0;trend;8h;19780,441145202454;9;0,4444444444444444;587,9483180884636
TNSR/USDC;Short;kama;Kaufman AMA;10;30;;30;;None;;2;5;5b;8h;16321,471086417203;50;0,58;451,97440014376116
ZEC/USDC;Long;kama;Kaufman AMA;10;40;;40;;1.5;1,5;2;0;trend;8h;16512,056292292018;10;0,6;110,65374467153742
ZEC/USDC;Short;kama;Kaufman AMA;30;40;;40;;None;;2;0;trend;8h;16919,33581716992;7;0,8571428571428571;269,2218566581396
