Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;SlowLength;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;kama;Kaufman AMA;30;30;;30;;None;;2;4;4b;4h;16161,00457398832;15;0,6;25,9841426746043
BTC/EUR;Short;kama;Kaufman AMA;30;30;;30;;1.5;1,5;2;5;5b;4h;16155,563315919237;23;0,43478260869565216;59,701563407066715
ETH/EUR;Long;kama;Kaufman AMA;20;50;;50;;None;;2;0;trend;4h;16333,818996324473;6;0,6666666666666666;28,07547653882102
ETH/EUR;Short;kama;Kaufman AMA;30;50;;50;;None;;0;5;5b;4h;16207,014602925701;23;0,4782608695652174;133,08418001605787
XRP/EUR;Long;kama;Kaufman AMA;30;30;;30;;None;;2;5;5b;4h;16141,289448617548;21;0,42857142857142855;81,54239006848366
XRP/EUR;Short;kama;Kaufman AMA;30;50;;50;;None;;2;0;trend;4h;16337,429051714835;9;0,6666666666666666;35,69948288316118
SOL/EUR;Long;kama;Kaufman AMA;20;50;;50;;None;;0;2;2b;4h;16176,326351643724;16;0,5;33,110614784696736
SOL/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;4h;16388,04569588288;33;0,48484848484848486;154,28725120856325
LINK/EUR;Long;kama;Kaufman AMA;20;30;;30;;None;;2;3;3b;4h;16136,699772614946;12;0,6666666666666666;38,835455203643505
LINK/EUR;Short;kama;Kaufman AMA;30;40;;40;;1.5;1,5;0;3;3b;4h;16289,728961586874;32;0,4375;79,3052261162411
SUI/EUR;Long;kama;Kaufman AMA;20;30;;30;;None;;2;2;2b;4h;16088,548794235996;25;0,56;102,66570331411094
SUI/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;4h;16549,414274493534;15;0,6666666666666666;53,54665691134687
LUNC/USDT;Long;kama;Kaufman AMA;10;30;;30;;1.5;1,5;2;0;trend;4h;17873,791862203325;7;0,42857142857142855;443,5345522124917
LUNC/USDT;Short;kama;Kaufman AMA;20;40;;40;;None;;2;0;trend;4h;17015,47652824576;10;0,5;183,5294510797794
TNSR/USDC;Long;kama;Kaufman AMA;10;30;;30;;1.5;1,5;0;0;trend;4h;18281,09015982548;16;0,1875;899,8770968259632
TNSR/USDC;Short;kama;Kaufman AMA;10;30;;30;;None;;2;5;5b;4h;17193,33543359735;46;0,5869565217391305;166,12399517681843
ZEC/USDC;Long;kama;Kaufman AMA;30;40;;40;;None;;2;0;trend;4h;16354,91506105053;9;0,5555555555555556;287,22975263171793
ZEC/USDC;Short;kama;Kaufman AMA;30;40;;40;;None;;2;0;trend;4h;16608,898115465254;8;0,75;505,2605251646128
