Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-12-07 18:00:00+01:00;12,06620979309082;2025-12-07 21:00:00+01:00;12,116642951965332;2000,0;4,0;Time exit (3 bars);4,3594036137826855;16004,359403613782;Long;2;3;3
2025-12-08 02:00:00+01:00;11,882603645324709;2025-12-08 05:00:00+01:00;11,969182014465332;2000,5449254517227;4,001089850903446;Time exit (3 bars);10,575169882064092;16014,934573495846;Long;2;3;3
2025-12-08 15:00:00+01:00;12,027966499328612;2025-12-08 16:00:00+01:00;11,934368999178472;2001,8668216869808;4,003733643373962;ATR stop;-19,58157301912083;15995,353000476725;Long;2;3;1
2025-12-08 21:00:00+01:00;11,861444473266602;2025-12-09 00:00:00+01:00;11,808384895324709;1999,4191250595907;3,9988382501191815;Time exit (3 bars);-12,942802464908782;15982,410198011816;Long;2;3;3
2025-12-09 04:00:00+01:00;11,769460678100586;2025-12-09 07:00:00+01:00;11,773133277893066;1997,801274751477;3,995602549502954;Time exit (3 bars);-3,372198916342289;15979,037999095473;Long;2;3;3
2025-12-09 12:00:00+01:00;11,795076370239258;2025-12-09 15:00:00+01:00;11,785955429077148;1997,3797498869342;3,9947594997738682;Time exit (3 bars);-5,5393008495080815;15973,498698245965;Long;2;3;3
2025-12-09 16:00:00+01:00;12,368966102600098;2025-12-09 19:00:00+01:00;12,70420742034912;1996,6873372807456;3,9933746745614913;Time exit (3 bars);50,123686406402484;16023,622384652368;Long;2;3;3
2025-12-10 10:00:00+01:00;12,272531509399414;2025-12-10 11:00:00+01:00;12,183940591453586;2002,952798081546;4,0059055961630925;ATR stop;-18,46448953610296;16005,157895116265;Long;2;3;1
2025-12-10 17:00:00+01:00;12,174870491027832;2025-12-10 20:00:00+01:00;12,424368858337402;2000,644736889533;4,0012894737790665;Time exit (3 bars);36,99771711017378;16042,15561222644;Long;2;3;3
2025-12-11 11:00:00+01:00;11,60996913909912;2025-12-11 14:00:00+01:00;11,610535621643066;2005,269451528305;4,01053890305661;Time exit (3 bars);-3,9126962536411543;16038,242915972798;Long;2;3;3
2025-12-11 18:00:00+01:00;11,538422584533691;2025-12-11 21:00:00+01:00;11,853365898132324;2004,7803644965998;4,0095607289932;Time exit (3 bars);50,71127883172487;16088,954194804523;Long;2;3;3
2025-12-12 03:00:00+01:00;11,976628303527832;2025-12-12 06:00:00+01:00;12,00426197052002;2011,1192743505653;4,0222385487011305;Time exit (3 bars);0,6180156948578235;16089,57221049938;Long;2;3;3
2025-12-12 10:00:00+01:00;11,984254837036133;2025-12-12 13:00:00+01:00;12,090721130371094;2011,1965263124225;4,022393052624845;Time exit (3 bars);13,844770341039165;16103,416980840419;Long;2;3;3
2025-12-12 23:00:00+01:00;11,632406234741213;2025-12-13 02:00:00+01:00;11,605192184448242;2012,9271226050523;4,0258542452101045;Time exit (3 bars);-8,735103462027627;16094,68187737839;Long;2;3;3
2025-12-13 16:00:00+01:00;11,762988090515137;2025-12-13 18:00:00+01:00;11,69035412266052;2011,8352346722988;4,023670469344598;ATR stop;-16,44632827019724;16078,235549108193;Long;2;3;2
2025-12-14 00:00:00+01:00;11,708945274353027;2025-12-14 03:00:00+01:00;11,730578422546388;2009,779443638524;4,019558887277048;Time exit (3 bars);-0,30634172540031646;16077,929207382793;Long;2;3;3
2025-12-14 08:00:00+01:00;11,68830680847168;2025-12-14 09:00:00+01:00;11,64365596641485;2009,741150922849;4,019482301845699;ATR stop;-11,696953143039522;16066,232254239754;Long;2;3;1
2025-12-14 13:00:00+01:00;11,669596672058104;2025-12-14 14:00:00+01:00;11,600884518327657;2008,2790317799693;4,0165580635599385;ATR stop;-15,841574938025815;16050,390679301729;Long;2;3;1
2025-12-15 01:00:00+01:00;11,398176193237305;2025-12-15 04:00:00+01:00;11,55712890625;2006,298834912716;4,012597669825432;Time exit (3 bars);23,96614537792616;16074,356824679655;Long;2;3;3
2025-12-15 13:00:00+01:00;11,639914512634276;2025-12-15 14:00:00+01:00;11,573423039228036;2009,2946030849569;4,0185892061699136;ATR stop;-15,496419092404055;16058,860405587251;Long;2;3;1
2025-12-15 23:00:00+01:00;10,855697631835938;2025-12-16 02:00:00+01:00;10,852043151855469;2007,3575506984064;4,0147151013968125;Time exit (3 bars);-4,690475262692817;16054,169930324559;Long;2;3;3
2025-12-16 06:00:00+01:00;10,843799591064451;2025-12-16 09:00:00+01:00;10,871472358703612;2006,7712412905698;4,01354248258114;Time exit (3 bars);1,1076250379753434;16055,277555362534;Long;2;3;3
2025-12-16 16:00:00+01:00;11,079751968383787;2025-12-16 17:00:00+01:00;10,963213338204538;2006,9096944203168;4,013819388840633;ATR stop;-25,122821408794383;16030,15473395374;Long;2;3;1
2025-12-16 19:00:00+01:00;11,0335054397583;2025-12-16 22:00:00+01:00;11,022151947021484;2003,7693417442174;4,007538683488435;Time exit (3 bars);-6,069420176361177;16024,085313777377;Long;2;3;3
2025-12-17 03:00:00+01:00;10,97511386871338;2025-12-17 05:00:00+01:00;10,885249897810743;2003,0106642221722;4,006021328444344;ATR stop;-20,406624930421874;16003,678688846956;Long;2;3;2
